APPLICATION_SUBMISSION_TYPE,SEX,FLAG_RESIDENCIAL_PHONE,FLAG_EMAIL,FLAG_VISA,FLAG_MASTERCARD,FLAG_OTHER_CARDS,FLAG_PROFESSIONAL_PHONE
2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
